,id,airport_ref,airport_ident,type,description,frequency_mhz
2836,71981,29116,EGCJ,A/G,Sherburn in Elmet A/G,126.6
2837,71982,29116,EGCJ,RAD/APP,Sherburn in Elmet RAD/APP,126.5
2838,58171,2400,EGCK,A/G,RDO,122.25
2839,71930,29117,EGCL,A/G,Fenland A/G,122.925
2840,71931,29117,EGCL,AFIS,Fenland AFIS,122.925
2841,58493,2401,EGCN,APP,APP,126.225
2842,58494,2401,EGCN,ATIS,ATIS,134.95
2843,58495,2401,EGCN,EMR,FIRE,121.6
2844,314231,2401,EGCN,ILS,,110.95
2845,58496,2401,EGCN,RDR,RDR,126.225
2846,58497,2401,EGCN,TWR,TWR,128.775
2847,71988,29120,EGCS,A/G,Sturgate A/G,130.3
2848,71991,29121,EGCT,A/G,Tilstock A/G,122.075
2849,71986,29122,EGCV,A/G,Sleap A/G,122.45
2850,58095,2402,EGCW,A/G,RDO,128.0
2851,58384,2403,EGDC,A/G,RDO,130.2
2852,307271,29123,EGDJ,Nationwide Glide,gliders,129.975
2853,307272,29123,EGDJ,Ops,Salisbury Ops,122.75
2854,58498,2405,EGDL,APP,APP,118.425
2855,58499,2405,EGDL,ATIS,ATIS,23.311999999999998
2856,58500,2405,EGDL,CAC,CAC,135.15
2857,58501,2405,EGDL,DIR,DIRECTOR,118.425
2858,58502,2405,EGDL,GND,GND,129.475
2860,58504,2405,EGDL,OPS,OPS,37.797
2861,58505,2405,EGDL,TWR,TWR,119.225
2862,58234,2406,EGDM,APP,APP,130.0
2863,58235,2406,EGDM,ATIS,ATIS,27.572
2864,58236,2406,EGDM,CAC,ZONE,126.7
2865,58237,2406,EGDM,DIR,DIR,130.0
2866,58238,2406,EGDM,GND,GND,130.75
2867,58239,2406,EGDM,TWR,TWR,130.75
2868,71956,29124,EGDN,A/G,Netheravon A/G,128.3
2869,71957,29124,EGDN,AFIS,Netheravon AFIS,128.3
2870,58100,2407,EGDO,APP,APP,134.05
2871,58101,2407,EGDO,TWR,TWR,122.1
2872,58250,2408,EGDR,APP,APP,134.05
2873,58251,2408,EGDR,ATIS,ATIS,23.185
2874,58252,2408,EGDR,GND,GND,122.1
2875,58253,2408,EGDR,OPS,OPS,572.5
2876,58254,2408,EGDR,TWR,TWR,122.1
2877,58132,2409,EGDX,APP,APP,126.625
2878,58133,2409,EGDX,ATIS,ATIS,34.045
2879,58134,2409,EGDX,GND,GND,24.112
2881,58136,2409,EGDX,TWR,TWR,118.125
2882,58379,2410,EGDY,APP,RADAR,127.35
2883,58380,2410,EGDY,ATIS,ATIS,28.392
2884,58381,2410,EGDY,GND,GND,26.862
2885,58382,2410,EGDY,OPS,OPS,673.6
2886,58383,2410,EGDY,TWR,TWR,122.1
2887,58187,2411,EGEC,AFIS,Cambeltown Information,125.905
2888,71927,29127,EGEF,A/G,Fair Isle A/G,118.025
2889,75218,44408,EGEL,A/G,Coll Radio,125.0
2890,71960,29129,EGEN,RAD/APP,North Ronaldsay RAD/APP,118.3
2891,58167,2412,EGEO,AFIS,Oban Information,118.055
2892,71947,29133,EGET,A/G,Lerwick Tingwall A/G,122.6
2893,71998,29134,EGEW,RAD/APP,Westray RAD/APP,118.3
2894,307367,44409,EGEY,A/G,A/G,123.8
2895,58232,2413,EGFA,AFIS,AFIS/AG,122.15
2896,71911,29135,EGFC,A/G,Cardiff Tremorfa A/G,120.65
2897,58454,2414,EGFE,A/G,RDO,122.2
2898,312777,2415,EGFF,APP,Cardiff App,119.15
2899,58516,2415,EGFF,APP,Cardiff Radar,125.85
2900,58517,2415,EGFF,ATIS,ATIS,132.475
2901,313786,2415,EGFF,Radar,,133.6
2902,58518,2415,EGFF,TWR,Cardiff Twr,133.1
2903,58233,2416,EGFH,A/G,RDO,119.7
2904,71967,29136,EGFP,A/G,Pembrey A/G,124.4
2905,71969,29136,EGFP,RAD/APP,Pembrey RAD/APP,124.4
2906,71968,29136,EGFP,TWR,Pembrey TWR,124.4
2907,58402,2417,EGGD,ATIS,ATIS,126.025
2908,58403,2417,EGGD,GND,GND,121.925
2909,58404,2417,EGGD,RDR,RDR,136.075
2910,58405,2417,EGGD,TWR,TWR,133.85
2911,58475,2418,EGGP,APP,APP,119.85
2912,58476,2418,EGGP,ATIS,ATIS,124.325
2913,58477,2418,EGGP,GND,GND,121.95
2914,58478,2418,EGGP,TWR,TWR,126.35
