2022-05-16   00:17:16:023809,317,-329,
2022-05-16   00:17:16:126338,512,-512,
2022-05-16   00:17:16:224528,512,-512,
2022-05-16   00:17:16:327076,184,-512,
2022-05-16   00:17:16:428948,-16,-316,
2022-05-16   00:17:16:527359,-16,-285,
2022-05-16   00:17:16:637634,510,-499,
2022-05-16   00:17:16:728307,512,-512,
2022-05-16   00:17:16:829917,-16,-512,
2022-05-16   00:17:16:929324,512,-512,
2022-05-16   00:17:17:031056,512,-512,
2022-05-16   00:17:17:133472,-16,-512,
2022-05-16   00:17:17:231906,-16,-512,
2022-05-16   00:17:17:334197,512,-512,
2022-05-16   00:17:17:432205,512,-512,
2022-05-16   00:17:17:531059,-15,6,
2022-05-16   00:17:17:633024,-16,6,
2022-05-16   00:17:17:731766,-16,6,
2022-05-16   00:17:17:833975,-16,6,
2022-05-16   00:17:17:936281,350,332,
2022-05-16   00:17:18:035000,13,342,
2022-05-16   00:17:18:137220,-234,452,
2022-05-16   00:17:18:239124,-15,512,
2022-05-16   00:17:18:337545,512,512,
2022-05-16   00:17:18:439942,-15,512,
2022-05-16   00:17:18:542160,-378,512,
2022-05-16   00:17:18:640119,-171,512,
2022-05-16   00:17:18:738913,374,222,
2022-05-16   00:17:18:841653,201,188,
2022-05-16   00:17:18:944249,-165,189,
2022-05-16   00:17:19:041765,-512,304,
2022-05-16   00:17:19:144130,-512,304,
2022-05-16   00:17:19:243071,-15,306,
2022-05-16   00:17:19:344801,512,189,
2022-05-16   00:17:19:447053,510,163,
2022-05-16   00:17:19:545819,-15,162,
2022-05-16   00:17:19:647874,-510,113,
2022-05-16   00:17:19:750042,-512,113,
2022-05-16   00:17:19:845081,-15,7,
2022-05-16   00:17:19:947210,85,6,
2022-05-16   00:17:20:045922,173,6,
2022-05-16   00:17:20:148214,512,6,
2022-05-16   00:17:20:250610,512,46,
2022-05-16   00:17:20:352237,312,512,
2022-05-16   00:17:20:451074,-16,512,
2022-05-16   00:17:20:553170,-15,512,
2022-05-16   00:17:20:652118,512,512,
2022-05-16   00:17:20:754150,94,512,
2022-05-16   00:17:20:856147,-512,510,
2022-05-16   00:17:20:955265,-15,6,
2022-05-16   00:17:21:053111,-16,6,
2022-05-16   00:17:21:155014,-15,6,
2022-05-16   00:17:21:254036,-16,6,
2022-05-16   00:17:21:356116,41,5,
2022-05-16   00:17:21:454976,261,5,
2022-05-16   00:17:21:561021,-16,-435,
2022-05-16   00:17:21:658995,-392,-512,
2022-05-16   00:17:21:761142,-512,-310,
2022-05-16   00:17:21:864237,-512,-245,
2022-05-16   00:17:21:961818,-15,-251,
2022-05-16   00:17:22:064770,510,-344,
2022-05-16   00:17:22:162782,510,-339,
2022-05-16   00:17:22:260925,510,6,
2022-05-16   00:17:22:363216,160,6,
2022-05-16   00:17:22:462142,-15,6,
2022-05-16   00:17:22:564085,-16,5,
2022-05-16   00:17:22:666124,-16,-133,
2022-05-16   00:17:22:769430,-391,-287,
2022-05-16   00:17:22:868173,-512,-233,
2022-05-16   00:17:22:965119,-512,6,
2022-05-16   00:17:23:072062,-512,-155,
2022-05-16   00:17:23:169988,-160,-512,
2022-05-16   00:17:23:270325,-16,-512,
2022-05-16   00:17:23:367864,-15,6,
2022-05-16   00:17:23:469283,-16,7,
2022-05-16   00:17:23:567906,-16,6,
2022-05-16   00:17:23:670227,-15,6,
2022-05-16   00:17:23:769334,-15,6,
2022-05-16   00:17:23:871465,-16,6,
2022-05-16   00:17:23:973207,-16,6,
2022-05-16   00:17:24:071643,-16,6,
2022-05-16   00:17:24:173418,-16,6,
2022-05-16   00:17:24:271990,-16,6,
2022-05-16   00:17:24:393805,-15,6,
2022-05-16   00:17:24:473188,-16,6,
2022-05-16   00:17:24:575378,-16,6,
2022-05-16   00:17:24:673779,-15,6,
2022-05-16   00:17:24:775851,-16,5,
2022-05-16   00:17:24:875040,-16,6,
2022-05-16   00:17:24:975842,-16,6,
2022-05-16   00:17:25:077675,-16,6,
2022-05-16   00:17:25:177135,-16,6,
2022-05-16   00:17:25:279501,-15,6,
2022-05-16   00:17:25:378056,-16,6,
2022-05-16   00:17:25:480211,-16,6,
